temperature,pressure,gas_toxicity,materials,quantity,blast_radius
1149.816047538945,992.9593050187034,335.53511536231537,Crude Oil,240.4322302059792,746.0300596936303
1380.2857225639664,1017.9330663164851,322.2809191647998,Petrol,851.1318573357448,857.6074338785663
1292.797576724562,1041.1062085113485,915.629122468933,Natural Gas,422.5011910045064,1091.4544564890161
1239.4633936788146,1031.2557420486694,324.59157986455546,Crude Oil,921.6032002629179,835.616068513302
1062.4074561769746,1036.4592803503015,344.7547535157679,Kerosene,609.1193549269052,765.5749728384203
1062.397808134481,1026.1148356697502,783.4584361761673,Crude Oil,264.4051458157013,941.1080672596049
1023.2334448672798,1028.4593595162496,504.765858205486,Crude Oil,225.6389806238201,782.5556266746117
1346.470458309974,1039.4436956095724,799.0395012596631,Kerosene,618.8251938019785,1082.0370945510629
1240.4460046972836,997.4767606201431,158.82954180794673,Diesel,785.6952506761995,725.6516050307855
1283.2290311184183,1014.2597474550198,538.8140743060459,Diesel,803.3550829679639,939.2584765320138
1008.233797718321,995.4846609273721,130.25224016495437,Petrol,348.1816639971531,608.0821170399021
1387.9639408647977,1049.1367605597652,156.3878831098191,Petrol,283.82208302095074,730.5846581112918
1332.9770563201687,1046.084153778063,915.7937080099698,Diesel,115.08067404314417,1075.4042298746788
1084.9356442713104,982.7598767957954,225.32083400583565,Natural Gas,711.2792360810524,703.0525705414269
1072.7299868828402,1029.3902620760982,579.1786140476954,Crude Oil,168.9114325901851,838.6852550458118
1073.3618039413736,1044.7673822190966,469.9860423406359,Natural Gas,478.6850815893332,819.124285481496
1121.696897183815,992.6402741589134,412.6089936329584,Crude Oil,641.5139476164665,805.6616425238636
1209.902572652895,1019.7561661386841,909.8500111185452,Diesel,943.3980504277093,1125.6022268909976
1172.7780074568464,1044.084180831163,119.64105709794055,Petrol,380.62192326019175,658.6927920746266
1116.4916560792167,982.376218501006,697.4107175580302,Petrol,324.7949462018678,919.0692599940089
1244.7411578889519,1028.8194187072788,967.0549907921953,Natural Gas,688.7441388574886,1129.4281323687333
1055.7975442608167,1000.8144305160786,604.1513651156578,Petrol,657.3151288482235,896.3781274926398
1116.8578594140872,1044.707733676357,943.1402158297826,Diesel,398.8988049773121,1063.3095500500187
1146.5447373174766,1047.9740771615757,147.0320913574214,Natural Gas,935.2916519588078,719.963574324507
1182.4279936868143,1046.0986542379403,476.91398716674524,Crude Oil,860.3760947406695,895.6154330546569
1314.0703845572054,1013.1949951660224,334.14201186584603,Petrol,301.584291278573,801.0094519170065
1079.869512863344,1040.342985569252,757.7388684826568,Kerosene,315.22829089107086,950.1869196847523
1205.6937753654447,1039.1184578974548,983.167381447522,Petrol,561.0703121983726,1104.812614454121
1236.9658275448169,1002.3370331270279,330.877056199823,Crude Oil,796.2148915576483,820.2139293909812
1018.5801650879991,1038.0240831905473,688.757141326667,Natural Gas,139.63634144961796,874.2325648193331
1243.0179407605754,982.5905344300845,278.28786948376614,Crude Oil,724.001638361236,783.3229540969135
1068.2096494749167,1021.7388914937437,608.7972291144489,Kerosene,683.4123076438873,898.6422506298263
1026.0206371941117,996.1006186101392,517.5392380195026,Diesel,308.3320863216894,797.8681989197543
1379.5542149013334,988.4396820044095,974.8047966683833,Petrol,713.2177119172139,1176.6940719236854
1386.2528132298237,985.3867241140447,647.6745454268199,Natural Gas,946.1648721268743,1034.1043155863201
1323.3589392465844,1028.7402143114698,414.5557348781369,Diesel,142.10726047459167,825.3288503414587
1121.8455076693483,1003.7912474637646,202.68620639914002,Crude Oil,387.6868497628563,683.120595043591
1039.0688456025537,1030.7336740070134,236.1221458614411,Natural Gas,494.35904499971974,687.4544968049207
1273.6932106048628,984.574943855926,302.7852369561116,Diesel,909.3343230322206,823.9168448706887
1176.0609974958406,1002.0703236481427,325.8699952062682,Natural Gas,966.035301948241,822.106077320395
1048.8152939379115,1017.7643904662737,865.554452057024,Kerosene,499.70372184669907,998.7726609250618
1198.070764044508,1035.3506215387274,605.1005094542725,Kerosene,775.025570927972,938.9656136490252
1013.7554084460874,1002.3126752052449,571.0518202369299,Petrol,578.4949213880348,848.3263773870976
1363.728160831513,1023.8123963505907,203.29198468229572,Petrol,584.0046412672389,775.0001007122286
1103.5119926400068,1042.0184423765331,874.1257240144914,Kerosene,350.2895635597208,1015.1567497778126
1265.0089137415928,1023.1104231727613,750.5328728876353,Natural Gas,295.26062127749157,989.4538369019067
1124.6844304357644,996.3071632327544,160.9015257100014,Kerosene,359.204811331637,656.8136019853073
1208.0272084711244,981.7080547089577,737.0515875067919,Petrol,600.6952065313715,999.8681712910197
1218.684111737312,1040.906921173065,589.1843956083815,Kerosene,126.23966741988009,885.0103538963704
1073.941782210211,981.4888587595271,173.55281117210043,Kerosene,916.5240499207653,701.7956934983529
1387.8338511058234,1041.2291170878939,512.4705773757908,Natural Gas,240.6553385947986,904.2491442580889
1310.0531293444458,1017.0255993819048,536.2266584170422,Diesel,298.0798091842479,887.416083359124
1375.7995766256756,1045.7347388959026,249.19708614694818,Petrol,566.4485588028817,791.6396617849966
1357.9309401710595,1035.9148265041565,951.1283323002541,Natural Gas,739.1032897035514,1161.4433395619526
1239.159991524434,1049.8553877373336,864.9778343325958,Kerosene,186.15614926995755,1019.9217488182649
1368.7496940092467,1004.5498270816197,702.1201035961975,Kerosene,385.925227792446,1003.7551933215377
1035.3970008207677,1033.7031802251788,516.0660049005464,Diesel,971.8071450169215,870.6593683211071
1078.3931449676581,1008.135163952647,470.58898742605766,Petrol,336.10867010285114,787.4834626717646
1018.0909155642153,1013.5912934212736,685.8761204358588,Petrol,381.7451305568322,889.9124772268751
1130.1321323053057,1023.9253824252859,590.888682466215,Crude Oil,852.8486415562302,920.8607605971705
1155.4709158757928,1041.1573979930438,156.04579529369704,Petrol,145.19298852140972,649.6688321285899
1108.5396127095585,1048.8858428439507,561.2523838932985,Diesel,518.1518519280737,878.3185611702268
1331.4950036607718,1033.7791389705162,825.7632555095555,Crude Oil,441.6550880065032,1059.7422946328206
1142.7013306774356,1009.2436747517133,513.3158898372623,Crude Oil,384.928083917786,838.6234815585315
1112.3738038749523,1009.4949901593949,146.76091979884157,Kerosene,357.1296346402881,645.7790413270053
1217.0784332632993,1031.6307611112225,807.6503794456298,Kerosene,182.23669437436828,986.4633302937739
1056.369689989905,996.7144002037811,281.22740392237694,Petrol,383.34324641648396,696.2758512549498
1320.878792301616,987.7331879191976,332.75875139923494,Crude Oil,138.74716244410172,766.909273977955
1029.8202574719082,1004.8235510348544,248.2357180890663,Kerosene,802.8674772799917,717.14397911884
1394.754774640207,1000.1067294157857,397.1935583843478,Diesel,458.4050145622105,860.7092406104732
1308.897907718663,1000.7415684319193,781.0763551197715,Kerosene,499.51344908792043,1026.1244948004394
1079.486272613669,996.3525425734937,567.4472735535436,Kerosene,904.2351278051184,894.363671860379
1002.208846849441,982.9465232745454,284.39314673564127,Crude Oil,692.2494854750987,705.9851077191047
1326.1845713819337,981.251175431339,890.0470703368368,Crude Oil,107.25319300790781,1055.1970653869919
1282.7429375390468,1049.1405672815222,891.6236694563763,Natural Gas,948.8573406651565,1136.2150870091511
1291.602867216395,1009.9441193615104,883.5205825414063,Diesel,313.43001937994006,1057.791589958092
1308.5081386743782,1006.9028653011777,314.9165902433854,Crude Oil,196.85276628387297,779.3219178486314
1029.6178606936362,1027.575309788515,506.11540976288927,Petrol,791.315360542794,849.7221131090706
1143.3862914177091,995.2777721505545,986.4906905267876,Diesel,550.4295842800464,1088.6781337039238
1046.3476238100518,1046.4972828765158,794.8112286789914,Diesel,490.3935094162158,961.879538070961
1345.2413703502375,1035.0441510090886,124.45067910300384,Crude Oil,324.55277171446755,703.1388901324366
1249.3192507310232,986.2587701618581,158.68413213444285,Diesel,592.7243408760868,709.5594639832204
1132.3592099410596,1009.230654304945,517.5382391310995,Crude Oil,346.94614468232874,836.8627895343409
1025.4233401144095,1041.5382815293515,918.2981852754042,Kerosene,911.4247047583608,1069.2625040020296
1124.392928686265,1046.1312415603986,584.8316181574428,Natural Gas,293.6840317598735,872.3612496497216
1130.0733288106987,1012.7181057874909,548.0312572308612,Kerosene,895.9196354101782,897.1158748029634
1291.8424713352256,1022.9387972447496,194.9263299609675,Crude Oil,603.4648831546212,750.9926782512797
1255.0229885420852,991.6923762264453,691.1020942518646,Crude Oil,845.6393205057169,1004.1622718581775
1354.8850970305307,1049.3818038295883,839.892844540203,Kerosene,741.5613962748595,1123.8343381535137
1188.8859700647797,996.217019096841,442.3780067568061,Petrol,727.0256002930737,850.1242304419944
1047.8376983753208,1045.9912241894588,798.0506658327947,Petrol,391.9112269255501,958.6527439671336
1285.297914889198,1025.4752654294657,968.0289885107304,Petrol,310.5072383249831,1106.3014899241007
1304.314019446759,1022.5415756415201,283.3898132149202,Crude Oil,289.7976049127093,766.4343466210089
1224.5108790277984,1015.8881957711556,570.9966680752672,Diesel,871.4724913536298,933.2312894998122
1308.3868719818245,996.1468868202431,358.424162276118,Crude Oil,838.384138233118,856.837456237056
1197.5182385457563,992.3569622403855,813.5689771304554,Diesel,496.5161752110766,1012.6101796447464
1209.0931317527977,995.4340346349122,619.8340292930418,Kerosene,219.16415214680916,893.514720238221
1171.0164073434198,993.0506783500978,671.1241757952733,Natural Gas,444.0270267797125,925.5120057792006
1010.1676506976381,1034.5709131496728,818.1227436543047,Diesel,657.4091087232202,979.2971893876393
1043.1565707973218,1004.5087681416711,456.37342539620937,Petrol,508.96283903195757,797.3261331392094
1012.5716742746937,984.0489873594378,923.5810615663389,Crude Oil,802.1703416346954,1048.1311479831488
1254.564164505512,1047.8371841098567,579.725980521526,Kerosene,997.8605400262469,977.6762234641989
1125.7423924305306,1041.8650119474398,242.15934055181322,Petrol,272.01887960400717,685.3232903521563
1203.428276465881,1044.9426598236648,726.3092063519222,Kerosene,513.6857376936152,986.9555086461264
1363.0265895704372,1049.6435475852504,813.935215394429,Natural Gas,487.88551172873986,1065.6131625015862
1099.71689165955,992.1726674453641,385.085509360774,Crude Oil,374.04327947405574,754.9908054405892
1164.1531692142519,1007.7369413231861,871.4613312988777,Crude Oil,278.2859650482606,1018.6803934269639
1302.2204554172195,1033.0766932992865,915.5289292891898,Natural Gas,159.1229048406933,1074.24622282221
1091.519266196649,1028.7214432637654,349.21403864002804,Crude Oil,898.4073855013286,799.932663204562
1030.791963931517,990.7727134437898,985.1693254436999,Diesel,477.86382791768585,1054.3276906514304
1115.9005811655072,1037.1083187493432,226.64037524388257,Kerosene,547.205966650044,713.0326981235062
1064.4885149016018,995.7108400285663,281.814101562241,Petrol,925.2478433808243,741.8254614701922
1371.8790609370292,995.6672330375836,265.8023553142235,Natural Gas,798.661429764353,821.6168312908908
1323.2481518257669,1017.588209602539,904.5907390070834,Diesel,217.45113770546578,1074.3245284536708
1253.3615026041693,1021.5057954389192,688.8632970924657,Petrol,608.8779708469681,984.8353468661173
